id,name,league
1,Arsenal,13.0
2,Aston Villa,13.0
3,Blackburn Rovers,14.0
4,Bolton,60.0
5,Chelsea,13.0
7,Everton,13.0
8,Leeds United,13.0
9,Liverpool,13.0
10,Manchester City,13.0
11,Manchester Utd,13.0
12,Middlesbrough,14.0
13,Newcastle Utd,13.0
14,Nott'm Forest,13.0
15,QPR,14.0
17,Southampton,13.0
18,Spurs,13.0
19,West Ham,13.0
21,FC Bayern,19.0
22,Dortmund,19.0
23,M'gladbach,19.0
25,SC Freiburg,19.0
27,Hansa Rostock,20.0
28,Hamburger SV,20.0
29,Kaiserslautern,2076.0
31,1. FC Köln,19.0
32,Leverkusen,19.0
33,1860 München,2076.0
34,FC Schalke 04,20.0
36,VfB Stuttgart,19.0
38,Werder Bremen,19.0
44,Inter,31.0
45,Juventus,31.0
47,Milan,31.0
48,Napoli,31.0
50,Parma,32.0
54,Torino,31.0
55,Udinese,31.0
57,AJ Auxerre,16.0
58,SC Bastia,17.0
59,Bordeaux,17.0
62,EA Guingamp,17.0
64,RC Lens,16.0
65,LOSC,16.0
66,OL,16.0
68,FC Metz,17.0
69,AS Monaco,16.0
70,Montpellier,16.0
71,FC Nantes,16.0
72,OGC Nice,16.0
73,Paris SG,16.0
74,Rennes,16.0
76,Strasbourg,16.0
77,Aberdeen,50.0
78,Celtic,50.0
80,Heart of Midlothian,50.0
81,Hibernian,50.0
82,Kilmarnock,50.0
83,Motherwell,50.0
86,Rangers,50.0
88,Birmingham City,14.0
89,Charlton Ath,60.0
91,Derby County,60.0
92,Grimsby Town,61.0
94,Ipswich,60.0
95,Leicester City,13.0
97,Millwall,14.0
106,Sunderland,14.0
109,West Brom,14.0
110,Wolves,13.0
121,Crewe Alexandra,61.0
127,Shrewsbury,60.0
142,Doncaster,61.0
143,Exeter City,60.0
144,Fulham,13.0
149,Lincoln City,60.0
159,Bielefeld,20.0
160,VfL Bochum,19.0
165,Greuther Fürth,20.0
166,Hertha Berlin,19.0
169,1. FSV Mainz 05,19.0
171,1. FC Nürnberg,20.0
175,VfL Wolfsburg,19.0
181,Dundee United,50.0
189,Bologna,31.0
190,Brescia,32.0
191,RB Salzburg,80.0
199,Perugia,32.0
203,Reggina,32.0
205,Venezia,32.0
206,Hellas Verona,31.0
209,SK Sturm Graz,80.0
210,SM Caen,17.0
211,Dinamo Zagreb,317.0
217,FC Lorient,16.0
219,OM,16.0
224,Nîmes Olympique,17.0
226,FCSM,17.0
229,RSC Anderlecht,4.0
230,Royal Antwerp FC,4.0
231,Club Brugge,4.0
232,Standard Liège,4.0
234,SL Benfica,308.0
236,FC Porto,308.0
237,Sporting CP,308.0
240,Atlético de Madrid,53.0
241,FC Barcelona,53.0
243,Real Madrid,53.0
244,R. Zaragoza,54.0
245,Ajax,10.0
246,Feyenoord,10.0
247,PSV,10.0
252,LASK,80.0
254,SK Rapid Wien,80.0
256,FK Austria Wien,80.0
260,CD Tenerife,54.0
263,HNK Hajduk Split,317.0
266,Slavia Praha,319.0
267,Sparta Praha,319.0
269,Brøndby IF,1.0
270,Silkeborg IF,1.0
271,Aarhus AGF,1.0
272,Odense BK,1.0
278,AEK Athens,63.0
294,Troyes,16.0
298,Rosenborg BK,41.0
299,Lillestrøm SK,41.0
300,Viking FK,41.0
301,Widzew Łódź,66.0
305,Bohemian FC,65.0
306,Shamrock Rovers,65.0
308,Univ. Craiova,330.0
310,FC Rapid,330.0
319,IFK Göteborg,56.0
320,Malmö FF,56.0
322,Grasshoppers,189.0
324,Servette FC,189.0
325,Galatasaray,68.0
326,Fenerbahçe,68.0
327,Beşiktaş,68.0
347,Lecce,31.0
357,Morecambe,60.0
361,Stevenage,61.0
378,Stade Brestois 29,16.0
379,Stade de Reims,16.0
381,Barrow,61.0
393,PAOK,63.0
417,Molde FK,41.0
418,Tromsø IL,41.0
420,Górnik Zabrze,66.0
423,St. Pats,65.0
432,Helsingborgs IF,56.0
433,AIK,56.0
436,Trabzonspor,68.0
445,Derry City,65.0
448,Athletic Club,53.0
449,Real Betis,53.0
450,RC Celta,53.0
452,RCD Espanyol,53.0
453,RCD Mallorca,53.0
456,Racing de Santander,54.0
457,Real Sociedad,53.0
459,R. Sporting,54.0
461,Valencia CF,53.0
462,R. Valladolid CF,53.0
463,D. Alavés,54.0
467,SD Eibar,54.0
468,Elche CF,53.0
472,UD Las Palmas,54.0
479,CA Osasuna,53.0
480,Rayo Vallecano,53.0
481,Sevilla FC,53.0
483,Villarreal CF,53.0
485,Hannover 96,20.0
487,VfL Osnabrück,2076.0
492,SVWW,2076.0
503,Dynamo Dresden,2076.0
506,Erzgebirge Aue,2076.0
518,GD Chaves,308.0
523,Saarbrücken,2076.0
526,Rot-Weiss Essen,2076.0
543,Jahn Regensburg,20.0
561,Forest Green,60.0
563,Sligo Rovers,65.0
570,Ternana,32.0
573,Málaga CF,54.0
576,Holstein Kiel,20.0
580,SV Elversberg,2076.0
605,Al Hilal,350.0
607,Al Ittihad,350.0
614,AC Ajaccio,17.0
621,Livingston,50.0
631,Ross County,50.0
634,Fortuna Sittard,10.0
645,FC Volendam,10.0
647,SC Cambuur,10.0
670,Sp. Charleroi,4.0
673,KRC Genk,4.0
674,KAA Gent,4.0
680,Sint-Truiden,4.0
681,KVC Westerlo,4.0
682,KV Oostende,4.0
687,Columbus Crew SC,39.0
688,D.C. United,39.0
689,NY Red Bulls,39.0
691,New England,39.0
693,Chicago Fire,39.0
