id,name,country,first_year,current
4,Euro Championship,World,2008,2020
21,Confederations Cup,World,2009,2017
61,Ligue 1,France,2010,2022
144,Jupiler Pro League,Belgium,2010,2022
71,Serie A,Brazil,2010,2023
39,Premier League,England,2010,2022
78,Bundesliga,Germany,2010,2022
135,Serie A,Italy,2010,2022
88,Eredivisie,Netherlands,2010,2022
94,Primeira Liga,Portugal,2010,2022
140,La Liga,Spain,2010,2022
179,Premiership,Scotland,2010,2022
180,Championship,Scotland,2010,2022
1,World Cup,World,2010,2022
803,Asian Games,World,2010,2018
804,Caribbean Cup,World,2010,2016
62,Ligue 2,France,2010,2022
2,UEFA Champions League,World,2011,2022
311,1st Division,Albania,2011,2022
310,Superliga,Albania,2011,2022
186,Ligue 1,Algeria,2011,2022
187,Ligue 2,Algeria,2011,2022
586,West Bank Premier League,Palestine,2011,2022
588,National League,Myanmar,2011,2023
591,Pro League,Trinidad-And-Tobago,2011,2023
335,Cup,Ukraine,2011,2021
336,Druha Liga - Group A,Ukraine,2011,2021
334,Persha Liga,Ukraine,2011,2022
333,Premier League,Ukraine,2011,2022
301,Pro League,United-Arab-Emirates,2011,2022
303,Division 1,United-Arab-Emirates,2011,2022
302,League Cup,United-Arab-Emirates,2011,2022
269,Segunda División,Uruguay,2011,2023
202,Ligue 1,Tunisia,2011,2022
203,Süper Lig,Turkey,2011,2022
204,1. Lig,Turkey,2011,2022
205,2. Lig,Turkey,2011,2022
206,Cup,Turkey,2011,2022
552,3. Lig - Group 1,Turkey,2011,2022
553,3. Lig - Group 2,Turkey,2011,2022
554,3. Lig - Group 3,Turkey,2011,2022
63,National 1,France,2011,2022
66,Coupe de France,France,2011,2022
65,Coupe de la Ligue,France,2011,2019
67,National 2 - Group A,France,2011,2022
68,National 2 - Group B,France,2011,2022
69,National 2 - Group C,France,2011,2022
70,National 2 - Group D,France,2011,2022
233,Premier League,Egypt,2011,2022
370,Primera Division,El-Salvador,2011,2022
328,Esiliiga A,Estonia,2011,2023
329,Meistriliiga,Estonia,2011,2023
326,Erovnuli Liga 2,Georgia,2011,2023
570,Premier League,Ghana,2011,2022
377,Division d'Honneur,Guadeloupe,2011,2022
339,Liga Nacional,Guatemala,2011,2022
338,Primera Division,Guatemala,2011,2022
199,Cup,Greece,2011,2022
198,Football League,Greece,2011,2020
197,Super League 1,Greece,2011,2022
79,2. Bundesliga,Germany,2011,2022
80,3. Liga,Germany,2011,2022
529,Super Cup,Germany,2011,2022
81,DFB Pokal,Germany,2011,2022
7,Asian Cup,World,2011,2019
8,World Cup - Women,World,2011,2019
512,2nd Division - Group A,Albania,2011,2022
513,2nd Division - Group B,Albania,2011,2022
312,1a Divisió,Andorra,2011,2022
313,2a Divisió,Andorra,2011,2022
